,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,97,Finland,"57,052",+645,742 ,,"46,000","+6,000","10,310",38,"10,286",134,"3,314,197","597,542","5,546,387 ",Europe,"977,4752",
,98,Uruguay,"56,542",,601 ,,"49,012",,"6,929",67,"16,240",173,"1,005,801","288,886","3,481,649 ",South America,"625,7933",
,99,Afghanistan,"55,707",,"2,443 ",,"49,285",,"3,979","1,064","1,410",62,"295,155","7,472","39,499,296 ",Asia,"70916,168134",
,100,Luxembourg,"55,110",,637 ,,"51,487",,"2,986",17,"87,112","1,007","2,103,036","3,324,259","632,633 ",Europe,119930,
,101,Cuba,"49,161",+720,318 ,+4,"44,566",+831,"4,277",59,"4,342",28,"2,374,019","209,681","11,322,060 ",North America,"23035,6045",
,102,Uganda,"40,322",,334 ,,"14,616",,"25,372",,864,7,"877,202","18,793","46,676,895 ",Africa,"1,158139,75153",
,103,Namibia,"38,642",+218,420 ,+2,"36,220",+226,"2,002",21,"15,030",163,"301,479","117,264","2,570,946 ",Africa,"676,1219",
,104,Zimbabwe,"36,044",,"1,463 ",,"32,539",,"2,042",41,"2,402",98,"337,312","22,481","15,004,449 ",Africa,"41610,25644",
,105,Cameroon,"35,714",,551 ,,"32,594",,"2,569",53,"1,324",20,"149,000","5,524","26,975,619 ",Africa,"75548,958181",
,106,Senegal,"34,255",+224,866 ,+8,"28,611",+234,"4,778",50,"2,011",51,"386,644","22,703","17,030,657 ",Africa,"49719,66644",
,107,Cyprus,"34,181",,231 ,,"2,057",,"31,893",17,"28,176",190,"1,888,026","1,556,326","1,213,130 ",Asia,"355,2521",
,108,Ivory Coast,"32,478",,190 ,,"31,431",,857,,"1,212",7,"417,474","15,576","26,803,128 ",Africa,"825141,06964",
,109,Malawi,"31,675",,"1,037 ",,"18,183",,"12,455",4,"1,628",53,"195,119","10,031","19,451,272 ",Africa,"61418,757100",
,110,Australia,"28,965",+7,909 ,,"26,166",+2,"1,890",,"1,127",35,"14,320,140","557,340","25,693,717 ",Australia/Oceania,"88728,2662",
,111,Botswana,"28,371",,310 ,,"23,244",,"4,817",1,"11,908",130,"805,587","338,114","2,382,590 ",Africa,"847,6863",
,112,Sudan,"28,303",,"1,878 ",,"22,863",,"3,562",,636,42,,,"44,515,697 ",Africa,"1,57323,704",
,113,Thailand,"25,881",+72,83 ,,"25,022",+70,776,1,370,1,"1,217,873","17,419","69,915,243 ",Asia,"2,701842,35257",
,114,DRC,"25,792",+101,707 ,,"18,951",+665,"6,134",,282,8,,,"91,326,674 ",Africa,"3,541129,175",
,115,Jamaica,"22,817",+346,417 ,+4,"13,318",+87,"9,082",20,"7,683",140,"205,746","69,283","2,969,665 ",North America,"1307,12114",
,116,Malta,"22,219",+237,313 ,,"19,255",+168,"2,651",18,"50,233",708,"695,192","1,571,705","442,317 ",Europe,"201,4131",
,117,Angola,"20,759",,504 ,,"19,307",,948,11,619,15,"188,630","5,626","33,528,819 ",Africa,"1,61566,525178",
,118,Madagascar,"19,831",,297 ,,"19,296",,238,23,704,11,"119,608","4,248","28,153,787 ",Africa,"1,42094,794235",
,119,Maldives,"19,479",,61 ,+1,"17,002",,"2,416",162,"35,626",112,"514,619","941,214","546,761 ",Asia,"288,9631",
,120,Rwanda,"18,689",,258 ,,"17,302",,"1,129",11,"1,420",20,"1,000,505","76,020","13,161,044 ",Africa,"70451,01213",
,121,French Polynesia,"18,387",,139 ,,"4,842",,"13,406",6,"65,208",493,"26,355","93,466","281,975 ",Australia/Oceania,"152,02911",
,122,Mauritania,"17,187",,439 ,,"16,534",,214,14,"3,634",93,"171,605","36,287","4,729,081 ",Africa,"27510,77228",
,123,Eswatini,"16,972",,650 ,,"14,241",,"2,081",36,"14,530",556,"151,217","129,462","1,168,039 ",Africa,"691,7978",
,124,Mayotte,"16,861",,107 ,,"2,964",,"13,790",22,"60,849",386,"123,040","444,031","277,098 ",Africa,"162,5902",
,125,French Guiana,"16,627",,85 ,,"9,995",,"6,547",6,"54,746",280,"149,894","493,537","303,714 ",South America,"183,5732",
,126,Guinea,"15,894",,89 ,,"14,879",,926,24,"1,189",7,"137,777","10,309","13,364,176 ",Africa,"841150,15997",
,127,Syria,"15,467",,"1,018 ",,"9,637",,"4,812",,870,57,,,"17,777,245 ",Asia,"1,14917,463",
,128,Cabo Verde,"15,253",,146 ,,"14,754",,353,23,"27,240",261,"120,215","214,691","559,945 ",Africa,"373,8355",
,129,Gabon,"14,564",,83 ,,"13,143",,"1,338",10,"6,444",37,"524,784","232,214","2,259,915 ",Africa,"15527,2284",
,130,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,375",9,,,"9,677,160 ",Asia,"727107,524",
,131,Haiti,"12,430",,249 ,,"9,679",,"2,502",,"1,081",22,"54,379","4,731","11,493,566 ",North America,"92546,159211",
,132,Réunion,"12,416",,52 ,,"11,270",,"1,094",55,"13,803",58,"98,785","109,821","899,507 ",Africa,"7217,2989",
,133,Belize,"12,293",,315 ,,"11,836",,142,2,"30,554",783,"83,888","208,500","402,340 ",North America,"331,2775",
,134,Burkina Faso,"11,939",,142 ,,"11,404",,393,,561,7,,,"21,275,518 ",Africa,"1,782149,828",
,135,Hong Kong,"10,984",+33,198 ,,"10,519",+26,267,17,"1,457",26,"7,980,942","1,058,916","7,536,900 ",Asia,"68638,0651",
,136,Andorra,"10,822",,110 ,,"10,394",,318,17,"139,917","1,422","193,595","2,502,974","77,346 ",Europe,77030,
,137,Lesotho,"10,491",,292 ,,"3,745",,"6,454",,"4,872",136,"60,460","28,077","2,153,396 ",Africa,"2057,37536",
,138,Guadeloupe,"9,746",,159 ,,"2,242",,"7,345",6,"24,355",397,"131,178","327,807","400,169 ",North America,"412,5173",
,139,Suriname,"8,913",,170 ,,"8,391",,352,7,"15,105",288,"40,654","68,896","590,080 ",South America,"663,47115",
,140,Congo,"8,820",,128 ,,"7,019",,"1,673",,"1,573",23,"92,500","16,499","5,606,435 ",Africa,"63643,80061",
,141,Bahamas,"8,519",,179 ,,"7,309",,"1,031",2,"21,529",452,"67,841","171,442","395,708 ",North America,"462,2116",
,142,Guyana,"8,513",,195 ,,"7,945",,373,4,"10,789",247,"63,809","80,868","789,047 ",South America,"934,04612",
,143,Mali,"8,358",,350 ,,"6,355",,"1,653",,405,17,"152,035","7,370","20,629,336 ",Africa,"2,46858,941136",
,144,Aruba,"7,849",,71 ,,"7,526",,252,11,"73,311",663,"104,076","972,091","107,064 ",North America,"141,5081",
,145,South Sudan,"7,771",+174,93 ,+3,"4,217",+110,"3,461",8,689,8,"108,767","9,643","11,279,697 ",Africa,"1,452121,287104",
,146,Trinidad and Tobago,"7,704",,139 ,,"7,445",,120,2,"5,493",99,"95,859","68,350","1,402,469 ",North America,"18210,09015",
,147,Togo,"6,730",,82 ,,"5,522",,"1,126",,801,10,"233,875","27,826","8,405,019 ",Africa,"1,249102,50036",
,148,Somalia,"6,687",,223 ,,"3,784",,"2,680",,413,14,,,"16,181,106 ",Africa,"2,42072,561",
,149,Martinique,"6,687",,45 ,,98,,"6,544",2,"17,829",120,"100,913","269,049","375,073 ",North America,"568,3354",
,150,Nicaragua,"6,445",,173 ,,"4,225",,"2,047",,965,26,,,"6,676,181 ",North America,"1,03638,591",
,151,Djibouti,"6,062",,63 ,,"5,894",,105,,"6,078",63,"115,259","115,560","997,398 ",Africa,"16515,8329",
,152,Iceland,"6,049",,29 ,,"6,006",,14,8,"17,651",85,"499,700","1,458,135","342,698 ",Europe,"5711,8171",
,153,Equatorial Guinea,"6,005",+48,91 ,,"5,622",+17,292,24,"4,191",64,"97,933","68,350","1,432,826 ",Africa,"23915,74515",
,154,Benin,"5,434",,70 ,,"4,248",,"1,116",,441,6,"476,511","38,648","12,329,565 ",Africa,"2,269176,13726",
,155,CAR,"5,004",,63 ,,"4,920",,21,2,"1,024",13,"37,104","7,596","4,884,610 ",Africa,"97677,533132",
,156,Niger,"4,740",,172 ,,"4,250",,318,3,191,7,"78,967","3,188","24,772,813 ",Africa,"5,226144,028314",
,157,Curaçao,"4,717",,22 ,,"4,631",,64,1,"28,669",134,"50,286","305,627","164,534 ",North America,"357,4793",
,158,Gambia,"4,691",,148 ,,"4,089",,454,8,"1,906",60,"42,080","17,101","2,460,743 ",Africa,"52516,62758",
,159,Gibraltar,"4,238",+2,93 ,+1,"4,122",,23,3,"125,816","2,761","186,254","5,529,450","33,684 ",Europe,83620,
,160,Channel Islands,"4,034",+1,86 ,,"3,893",,55,1,"23,063",492,"365,480","2,089,484","174,914 ",Europe,"432,0340",
,161,Chad,"3,957",,138 ,,"3,450",,369,,236,8,,,"16,731,743 ",Africa,"4,228121,245",
,162,Sierra Leone,"3,884",,79 ,,"2,612",,"1,193",,481,10,"116,448","14,407","8,082,756 ",Africa,"2,081102,31369",
,163,San Marino,"3,716",+40,74 ,+1,"3,257",+33,385,8,"109,365","2,178","42,306","1,245,100","33,978 ",Europe,94591,
,164,Comoros,"3,558",,144 ,,"3,255",,159,,"4,036",163,,,"881,673 ",Africa,"2486,123",
,165,Saint Lucia,"3,356",,35 ,,"2,912",,409,2,"18,221",190,"30,884","167,685","184,179 ",North America,"555,2626",
,166,Guinea-Bissau,"3,241",,48 ,,"2,597",,596,7,"1,622",24,"51,819","25,932","1,998,274 ",Africa,"61741,63139",
,167,Barbados,"2,994",,33 ,,"2,270",,691,,"10,410",115,"124,392","432,507","287,607 ",North America,"968,7152",
,168,Mongolia,"2,866",+35,2 ,,"2,183",+33,681,8,865,0.6,"1,774,941","535,784","3,312,794 ",Asia,"1,1561,656,3972",
,169,Eritrea,"2,847",,7 ,,"2,253",,587,,796,2,"23,693","6,621","3,578,539 ",Africa,"1,257511,220151",
,170,Seychelles,"2,592",,11 ,,"2,263",,318,,"26,249",111,"5,200","52,660","98,747 ",Africa,"388,97719",
,171,Liechtenstein,"2,566",+2,54 ,,"2,484",,28,3,"67,173","1,414","27,354","716,073","38,200 ",Europe,157071,
,172,Vietnam,"2,432",+6,35 ,,"1,844",+5,553,,25,0.4,"1,997,072","20,396","97,913,128 ",Asia,"40,2602,797,51849",
,173,New Zealand,"2,372",+1,26 ,,"2,280",+2,66,,474,5,"1,701,362","340,130","5,002,100  ",Australia/Oceania,"2,109192,3883",
,174,Yemen,"2,267",,627 ,,"1,434",,206,23,75,21,"17,404",575,"30,253,881 ",Asia,"13,34548,2521,738",
,175,Burundi,"2,143",,3 ,,773,,"1,367",,177,0.2,"90,019","7,427","12,120,463 ",Africa,"5,6564,040,154135",
,176,Turks and Caicos,"2,099",+11,14 ,,"1,870",+23,215,13,"53,738",358,"16,759","429,058","39,060 ",North America,"192,7902",
,177,Sint Maarten,"2,053",,27 ,,"1,993",,33,2,"47,529",625,"19,228","445,144","43,195 ",North America,"211,6002",
,178,Liberia,"2,010",,85 ,,"1,884",,41,2,391,17,"73,267","14,268","5,135,054 ",Africa,"2,55560,41270",
,179,Monaco,"1,942",,23 ,,"1,692",,227,13,"49,258",583,"51,953","1,317,768","39,425 ",Europe,"201,7141",
,180,Sao Tome and Principe,"1,786",+41,28 ,,"1,355",+19,403,,"8,052",126,"11,592","52,260","221,815 ",Africa,"1247,92219",
,181,St. Vincent Grenadines,"1,556",+26,8 ,,932,+19,616,2,"13,996",72,"35,851","322,482","111,172 ",North America,"7113,8973",
,182,Saint Martin,"1,544",,12 ,,"1,399",,133,7,"39,492",307,"21,398","547,305","39,097 ",North America,"253,2582",
,183,Papua New Guinea,"1,228",,12 ,,846,,370,,136,1,"47,490","5,243","9,057,618 ",Australia/Oceania,"7,376754,802191",
,184,Taiwan,954,+3,9 ,,917,+11,28,,40,0.4,"174,435","7,315","23,845,154 ",Asia,"24,9952,649,462137",
,185,Bhutan,867,,1 ,,862,,4,,"1,116",1,"523,430","673,503","777,176 ",Asia,"896777,1761",
,186,Cambodia,767,+26, ,,477,,290,,45,,"468,781","27,787","16,870,373 ",Asia,"21,99536",
,187,Antigua and Barbuda,726,+25,14 ,,291,+20,421,40,"7,373",142,"13,976","141,945","98,461 ",North America,"1367,0337",
,188,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,
,189,Bermuda,705,,12 ,,682,,11,3,"11,348",193,"174,195","2,803,899","62,126 ",North America,"885,1770",
,190,Faeroe Islands,658,,1 ,,657,,0,,"13,433",20,"230,656","4,708,707","48,985 ",Europe,"7448,9850",
,191,Mauritius,610,,10 ,,571,,29,,479,8,"289,552","227,428","1,273,157 ",Africa,"2,087127,3164",
,192,St. Barth,573,,1 ,,462,,110,,"57,896",101,"17,956","1,814,287","9,897 ",North America,"179,8971",
,193,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,838,511 ",Africa,"119,5262,897,072",
,194,Isle of Man,484,+9,25 ,,410,,49,,"5,672",293,"32,654","382,683","85,329 ",Europe,"1763,4133",
,195,Cayman Islands,444,,2 ,,413,,29,,"6,704",30,"73,596","1,111,252","66,228 ",North America,"14933,1141",
,196,Caribbean Netherlands,429,,4 ,,402,,23,,"16,260",152,"6,520","247,129","26,383 ",North America,"616,5964",
,197,Brunei ,186,+1,3 ,,181,+3,2,,423,7,"100,667","228,671","440,226 ",Asia,"2,367146,7424",
,198,British Virgin Islands,153,,1 ,,131,,21,,"5,039",33,"13,223","435,497","30,363 ",North America,"19830,3632",
,199,Grenada,148,,1 ,,147,,0,,"1,311",9,"20,288","179,753","112,866 ",North America,"763112,8666",
,200,Dominica,142,, ,,127,,15,,"1,969",,"11,519","159,755","72,104 ",North America,5086,
,201,Timor-Leste,111,+1, ,,89,,22,,83,,"21,242","15,914","1,334,830 ",Asia,"12,02563",
,202,Fiji,59,,2 ,,54,,3,,66,2,"30,118","33,438","900,710 ",Australia/Oceania,"15,266450,35530",
,203,New Caledonia,58,, ,,55,,3,,202,,"22,627","78,758","287,298 ",Australia/Oceania,"4,95313",
,204,Falkland Islands,54,, ,,46,,8,,"15,228",,"7,009","1,976,593","3,546 ",South America,661,
,205,Macao,48,, ,,47,,1,,73,,"4,369","6,669","655,128 ",Asia,"13,649150",
,206,Laos,45,, ,,42,,3,,6,,"112,150","15,270","7,344,620 ",Asia,"163,21465",
,207,Saint Kitts and Nevis,41,, ,,40,,1,,767,,"8,790","164,465","53,446 ",North America,"1,3046",
,208,Greenland,30,, ,,30,,0,,528,,"18,924","332,964","56,835 ",North America,"1,8953",
,209,Vatican City,27,, ,,15,,12,,"33,666",,,,802 ,Europe,30,
,210,Saint Pierre Miquelon,24,, ,,16,,8,,"4,156",,"3,729","645,714","5,775 ",North America,2412,
,211,Montserrat,20,,1 ,,13,,6,,"4,005",200,947,"189,628","4,994 ",North America,"2504,9945",
,212,Anguilla,18,, ,,18,,0,,"1,193",,"9,742","645,550","15,091 ",North America,8382,
,213,Solomon Islands,18,, ,,14,,4,,26,,"4,500","6,448","697,841 ",Australia/Oceania,"38,769155",
,214,Western Sahara,10,,1 ,,8,,1,,16,2,,,"606,892 ",Africa,"60,689606,892",
,215,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,
,216,Wallis and Futuna,9,, ,,7,,2,,810,,"1,202","108,210","11,108 ",Australia/Oceania,"1,2349",
,217,Marshall Islands,4,, ,,4,,0,,67,,,,"59,452 ",Australia/Oceania,"14,863",
,218,Samoa,3,, ,,2,,1,,15,,,,"199,280 ",Australia/Oceania,"66,427",
,219,Micronesia,1,, ,,1,,0,,9,,,,"115,813 ",Australia/Oceania,"115,813",
,220,Vanuatu,1,, ,,1,,0,,3,,470,"1,507","311,817 ",Australia/Oceania,"311,817663",
,221,China,"89,887",+10,"4,636 ",,"85,021",+24,230,1,62,3,"160,000,000","111,163","1,439,323,776 ",Asia,"16,013310,4679",
,,Total:,"33,429,486","+13,187","755,828",+905,"23,070,354","+8,785","9,603,304","22,014",,,,,,North America, ,,,
,,Total:,"24,917,879","+52,646","397,367",+657,"23,429,282","+45,117","1,091,230","21,831",,,,,,Asia, ,,,
,,Total:,"17,856,132","+5,558","463,826",+108,"16,154,042","+4,873","1,238,264","18,862",,,,,,South America, ,,,
,,Total:,"33,977,721","+92,745","810,722","+1,857","23,507,992","+62,401","9,659,007","25,268",,,,,,Europe, ,,,
,,Total:,"3,908,737","+1,369","103,331",+28,"3,467,839","+2,245","337,567","2,550",,,,,,Africa, ,,,
,,Total:,"51,105",+8,"1,088",,"34,272",,"15,745",6,,,,,,Australia/Oceania, ,,,
,,Total:,721,,15,,706,,0,0,,,,,,, ,,,
,,Total:,"114,141,781","+165,513","2,532,177","+3,555","89,664,487","+123,425","21,945,117","90,531","14,643.3",324.9,,,,All,,,,,
