,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"115,070,704","+81,063","2,552,120","+2,226","90,792,803","+79,352","21,725,781","90,321","14,762",327.4,
1,1,USA,"29,314,254",,"527,226 ",,"19,817,532",,"8,969,496","14,545","88,218","1,587"
2,2,India,"11,124,527",+908,"157,275 ",,"10,798,921","+2,363","168,331","8,944","8,009",113
3,3,Brazil,"10,589,608",,"255,836 ",,"9,457,100",,"876,672","8,318","49,585","1,198"
4,4,Russia,"4,268,215","+10,565","86,896 ",+441,"3,838,040","+14,966","343,279","2,300","29,239",595
5,5,UK,"4,182,009",,"122,953 ",,"2,959,884",,"1,099,172","1,971","61,389","1,805"
6,6,France,"3,760,671",,"86,803 ",,"258,384",,"3,415,484","3,544","57,529","1,328"
7,7,Spain,"3,204,531",,"69,609 ",,"2,722,304",,"412,618","2,923","68,521","1,488"
8,8,Italy,"2,938,371",,"97,945 ",,"2,416,093",,"424,333","2,289","48,647","1,622"
9,9,Turkey,"2,711,479",,"28,638 ",,"2,578,181",,"104,660","1,215","31,922",337
10,10,Germany,"2,455,569",,"70,924 ",,"2,264,600","+9,100","120,045","2,848","29,246",845
11,11,Colombia,"2,255,260",,"59,866 ",,"2,151,633",,"43,761","2,240","44,011","1,168"
12,12,Argentina,"2,112,023",,"52,077 ",,"1,911,338",,"148,608","3,505","46,447","1,145"
13,13,Mexico,"2,089,281","+2,343","186,152 ",+437,"1,639,943","+6,043","263,186","4,798","16,092","1,434"
14,14,Poland,"1,719,708","+7,937","44,008 ",+216,"1,438,032","+7,171","237,668","1,540","45,472","1,164"
15,15,Iran,"1,648,174","+8,495","60,267 ",+86,"1,406,845","+6,911","181,062","3,738","19,458",711
16,16,South Africa,"1,513,959",,"50,077 ",,"1,431,336",,"32,546",546,"25,315",837
17,17,Ukraine,"1,357,470","+5,336","26,212 ",+162,"1,176,918","+5,194","154,340",177,"31,165",602
18,18,Indonesia,"1,347,026","+5,712","36,518 ",+193,"1,160,863","+8,948","149,645",,"4,890",133
19,19,Peru,"1,332,939",,"46,685 ",,"1,236,668",,"49,586","2,153","40,057","1,403"
20,20,Czechia,"1,252,242","+12,150","20,701 ",+96,"1,082,617",+475,"148,924","1,568","116,789","1,931"
21,21,Netherlands,"1,092,452",,"15,584 ",,N/A,N/A,N/A,536,"63,662",908
22,22,Canada,"870,033",,"22,017 ",,"817,586",,"30,430",567,"22,919",580
23,23,Chile,"829,770",,"20,660 ",,"784,213",,"24,897","1,675","43,161","1,075"
24,24,Portugal,"804,956",,"16,351 ",,"720,235",,"68,370",469,"79,097","1,607"
25,25,Romania,"804,090",,"20,403 ",,"741,471",,"42,216","1,022","41,985","1,065"
26,26,Israel,"781,857","+1,899","5,779 ",+19,"736,888","+1,038","39,190",729,"85,007",628
27,27,Belgium,"772,294",+783,"22,106 ",+29,"52,585",+61,"697,603",407,"66,444","1,902"
28,28,Iraq,"699,088",,"13,428 ",,"639,639",,"46,021",410,"17,127",329
29,29,Sweden,"657,309",,"12,826 ",,N/A,N/A,N/A,234,"64,816","1,265"
30,30,Pakistan,"582,528","+1,163","12,938 ",+42,"547,406","+1,035","22,184","1,529","2,604",58
31,31,Philippines,"580,442","+2,067","12,369 ",+47,"534,463",+144,"33,610",785,"5,251",112
32,32,Switzerland,"557,492",,"9,988 ",,"511,437",,"36,067",181,"64,104","1,148"
33,33,Bangladesh,"546,801",,"8,416 ",,"497,797",,"40,588",,"3,298",51
34,34,Morocco,"483,766",,"8,637 ",,"469,345",,"5,784",253,"13,004",232
35,35,Austria,"462,769","+1,920","8,605 ",+31,"433,873","+1,857","20,291",296,"51,188",952
36,36,Serbia,"462,728",,"4,459 ",,"400,347",,"57,922",164,"53,103",512
37,37,Hungary,"435,689","+2,764","15,188 ",+130,"324,202","+1,246","96,299",581,"45,177","1,575"
38,38,Japan,"432,773",,"7,887 ",,"410,604",,"14,282",436,"3,429",62
39,39,Jordan,"397,158",,"4,727 ",,"351,256",,"41,175",314,"38,670",460
40,40,UAE,"396,771","+2,721","1,253 ",+15,"383,998","+1,666","11,520",,"39,798",126
41,41,Saudi Arabia,"377,700",,"6,500 ",,"368,640",,"2,560",492,"10,738",185
42,42,Lebanon,"376,938",,"4,743 ",,"294,270",,"77,925",898,"55,391",697
43,43,Panama,"341,420",,"5,858 ",,"327,317",,"8,245",195,"78,312","1,344"
44,44,Slovakia,"311,002","+2,077","7,388 ",+118,"255,300",,"48,314",694,"56,945","1,353"
45,45,Malaysia,"304,135","+1,555","1,141 ",+6,"278,431","+2,528","24,563",204,"9,318",35
46,46,Belarus,"289,136",+869,"1,993 ",+7,"279,450",+788,"7,693",,"30,605",211
47,47,Ecuador,"286,367",,"15,832 ",,"247,898",,"22,637",524,"16,070",888
48,48,Nepal,"274,294",+78,"2,777 ",,"270,543",+72,974,,"9,303",94
49,49,Georgia,"271,379",+461,"3,532 ",+12,"265,686",+163,"2,161",,"68,116",887
50,50,Bolivia,"249,767",+757,"11,666 ",+17,"193,652",+620,"44,449",71,"21,205",990
51,51,Bulgaria,"249,626",,"10,308 ",,"206,630",,"32,688",414,"36,107","1,491"
52,52,Croatia,"243,458",+394,"5,548 ",+11,"235,017",+382,"2,893",65,"59,549","1,357"
53,53,Dominican Republic,"239,998",,"3,106 ",,"192,078",,"44,814",203,"21,978",284
54,54,Azerbaijan,"235,014",+352,"3,225 ",+2,"228,982",+143,"2,807",,"23,041",316
55,55,Tunisia,"233,669",,"8,022 ",,"198,778",,"26,869",272,"19,635",674
56,56,Ireland,"220,273",,"4,319 ",,"23,364",,"192,590",117,"44,281",868
57,57,Kazakhstan,"214,089",+658,"2,540 ",,"197,782",+893,"13,767",221,"11,312",134
58,58,Denmark,"211,692",,"2,365 ",,"202,517",,"6,810",44,"36,462",407
59,59,Costa Rica,"205,086",,"2,812 ",,"181,851",,"20,423",147,"40,017",549
60,60,Lithuania,"199,825",+426,"3,263 ",+7,"185,770",+922,"10,792",153,"74,097","1,210"
61,61,Greece,"192,270",,"6,534 ",,"165,718",,"20,018",406,"18,507",629
62,62,Kuwait,"192,031",,"1,085 ",,"180,155",,"10,791",157,"44,530",252
63,63,Slovenia,"191,056",+729,"3,863 ",+9,"175,210",,"11,983",85,"91,892","1,858"
64,64,Moldova,"186,447",,"3,975 ",,"166,833",,"15,639",307,"46,291",987
65,65,Palestine,"185,336",,"2,058 ",,"167,744",,"15,534",116,"35,782",397
66,66,Egypt,"183,010",,"10,736 ",,"141,347",,"30,927",90,"1,766",104
67,67,Guatemala,"174,653",,"6,402 ",,"161,816",,"6,435",5,"9,631",353
68,68,Armenia,"172,456",+240,"3,200 ",+5,"163,738",+227,"5,518",,"58,126","1,079"
69,69,Honduras,"170,985",+681,"4,174 ",+23,"66,709",+196,"100,102",406,"17,083",417
70,70,Qatar,"164,600",+463,259 ,,"154,420",+359,"9,921",106,"58,622",92
71,71,Paraguay,"160,448",,"3,198 ",,"134,392",,"22,858",262,"22,313",445
72,72,Ethiopia,"159,972",,"2,373 ",,"135,177",,"22,422",375,"1,369",20
73,73,Nigeria,"156,017",,"1,915 ",,"133,904",,"20,198",10,745,9
74,74,Oman,"142,169",+361,"1,580 ",+3,"132,945",+260,"7,644",70,"27,382",304
75,75,Myanmar,"141,916",,"3,199 ",,"131,487",,"7,230",,"2,597",59
76,76,Venezuela,"139,545",,"1,348 ",,"131,647",,"6,550",131,"4,917",47
77,77,Libya,"134,967",+840,"2,216 ",+6,"122,079",+963,"10,672",,"19,467",320
78,78,Bosnia and Herzegovina,"130,979",,"5,071 ",,"115,847",,"10,061",,"40,089","1,552"
79,79,Bahrain,"123,039",,452 ,,"115,895",,"6,692",62,"70,699",260
80,80,Algeria,"113,255",,"2,987 ",,"78,234",,"32,034",21,"2,552",67
81,81,Albania,"107,931",,"1,816 ",,"70,413",,"35,702",46,"37,532",631
82,82,Kenya,"106,125",,"1,859 ",,"86,717",,"17,549",57,"1,945",34
83,83,North Macedonia,"103,020",,"3,144 ",,"91,507",,"8,369",124,"49,450","1,509"
84,84,S. Korea,"90,372",+344,"1,606 ",+1,"81,338",+268,"7,428",135,"1,762",31
85,85,Latvia,"87,103",+645,"1,638  ",+17,"75,255",,"10,210",74,"46,524",875
86,86,Kyrgyzstan,"86,308",+57,"1,467 ",+1,"83,269",+59,"1,572",16,"13,086",222
87,87,Ghana,"84,023",,607 ,,"77,972",,"5,444",132,"2,667",19
88,88,Sri Lanka,"83,552",,476 ,,"79,422",,"3,654",,"3,891",22
89,89,Uzbekistan,"79,961",+35,622 ,,"78,513",+17,826,27,"2,366",18
90,90,Zambia,"79,002",,"1,098 ",,"75,087",,"2,817",246,"4,220",59
91,91,Montenegro,"76,283",,"1,015 ",,"66,710",,"8,558",68,"121,447","1,616"
92,92,Norway,"71,735",,623 ,,"66,014",,"5,098",22,"13,164",114
93,93,Estonia,"67,739","+1,113",605 ,+7,"50,351",+248,"16,783",44,"51,042",456
94,94,Singapore,"59,956",+8,29 ,,"59,830",,97,1,"10,195",5
95,95,El Salvador,"59,866",,"1,869 ",+9,"55,312",,"2,685",43,"9,199",287
96,96,Mozambique,"59,607",,653 ,,"41,413",,"17,541",,"1,873",21
97,97,Finland,"58,645",+581,755 ,+5,"46,000",,"11,890",39,"10,573",136
98,98,Uruguay,"58,589",,611 ,,"50,624",,"7,354",76,"16,827",175
99,99,Afghanistan,"55,759",,"2,446 ",,"49,344",,"3,969","1,067","1,411",62
100,100,Luxembourg,"55,480",,639 ,,"52,019",,"2,822",20,"87,685","1,010"
101,101,Cuba,"50,590",,324 ,,"46,106",,"4,160",62,"4,468",29
102,102,Uganda,"40,367",,334 ,,"14,989",,"25,044",,865,7
103,103,Namibia,"39,033",,428 ,,"36,335",,"2,270",22,"15,180",166
104,104,Zimbabwe,"36,115",,"1,468 ",,"32,905",,"1,742",41,"2,407",98
105,105,Cameroon,"35,714",,551 ,,"32,594",,"2,569",53,"1,324",20
106,106,Cyprus,"35,009",,231 ,,"2,057",,"32,721",24,"28,857",190
107,107,Senegal,"34,832",+100,888 ,+8,"29,402",+241,"4,542",49,"2,045",52
108,108,Ivory Coast,"32,791",,193 ,,"31,712",,886,,"1,223",7
109,109,Malawi,"32,008",,"1,048 ",,"19,513",,"11,447",4,"1,645",54
110,110,Botswana,"30,727",,332 ,,"24,884",,"5,511",1,"12,894",139
111,111,Australia,"28,986",+11,909 ,,"26,180",+5,"1,897",,"1,128",35
112,112,Sudan,"28,406",,"1,890 ",,"22,975",,"3,541",,638,42
113,113,Thailand,"26,073",+42,84 ,+1,"25,420",+96,569,1,373,1
114,114,DRC,"26,050",+88,711 ,+4,"20,466","+1,515","4,873",,285,8
115,115,Jamaica,"23,599",,425 ,,"13,502",,"9,672",22,"7,946",143
116,116,Malta,"22,657",,316 ,,"19,663",,"2,678",18,"51,222",714
117,117,Angola,"20,854",,508 ,,"19,400",,946,12,622,15
118,118,Maldives,"19,979",,62 ,,"17,343",,"2,574",162,"36,535",113
119,119,Madagascar,"19,831",,297 ,,"19,296",,238,23,704,11
120,120,Rwanda,"18,986",,264 ,,"17,322",,"1,400",11,"1,442",20
121,121,French Polynesia,"18,414",,139 ,,"4,842",,"13,433",2,"65,301",493
122,122,Mayotte,"17,600",,110 ,,"2,964",,"14,526",23,"63,503",397
123,123,Mauritania,"17,217",,441 ,,"16,583",,193,14,"3,640",93
124,124,Eswatini,"17,025",,652 ,,"14,800",,"1,573",36,"14,574",558
125,125,French Guiana,"16,627",,85 ,,"9,995",,"6,547",6,"54,734",280
126,126,Guinea,"16,081",+76,91 ,+2,"14,994",+77,996,24,"1,203",7
127,127,Syria,"15,642",,"1,032 ",,"9,880",,"4,730",,880,58
128,128,Cabo Verde,"15,432",,147 ,,"14,875",,410,23,"27,557",263
129,129,Gabon,"14,849",,87 ,,"13,288",,"1,474",17,"6,569",38
130,131,Haiti,"12,493",,250 ,,"9,763",,"2,480",,"1,087",22
131,132,Réunion,"12,416",,52 ,,"11,270",,"1,094",55,"13,802",58
132,133,Belize,"12,313",,315 ,,"11,860",,138,2,"30,599",783
133,134,Burkina Faso,"12,030",,143 ,,"11,588",,299,,565,7
134,135,Hong Kong,"11,033",+13,200 ,,"10,563",+16,270,14,"1,464",27
135,136,Andorra,"10,889",,110 ,,"10,475",,304,17,"140,781","1,422"
136,137,Lesotho,"10,495",,295 ,,"3,768",,"6,432",,"4,873",137
137,138,Guadeloupe,"9,746",,159 ,,"2,242",,"7,345",6,"24,355",397
138,139,Suriname,"8,933",,173 ,,"8,413",,347,3,"15,138",293
139,140,Congo,"8,820",,128 ,,"7,019",,"1,673",,"1,573",23
140,141,Guyana,"8,595",,197 ,,"7,993",,405,5,"10,892",250
141,142,Bahamas,"8,519",,179 ,,"7,309",,"1,031",2,"21,527",452
142,143,Mali,"8,390",,355 ,,"6,408",,"1,627",,407,17
143,144,South Sudan,"8,144",+134,95 ,+1,"4,217",,"3,832",8,722,8
144,145,Aruba,"7,908",,74 ,,"7,655",,179,11,"73,860",691
145,146,Trinidad and Tobago,"7,716",,139 ,,"7,474",,103,2,"5,502",99
146,147,Somalia,"7,392",,243 ,,"3,814",,"3,335",,457,15
147,148,Togo,"6,933",,85 ,,"5,663",,"1,185",,825,10
148,149,Martinique,"6,687",,45 ,,98,,"6,544",2,"17,829",120
149,150,Nicaragua,"6,445",,173 ,,"4,225",,"2,047",,965,26
150,151,Equatorial Guinea,"6,095",,92 ,,"5,632",,371,24,"4,253",64
151,152,Djibouti,"6,087",,63 ,,"5,898",,126,,"6,102",63
152,153,Iceland,"6,055",+1,29 ,,"6,017",+5,9,7,"17,668",85
153,154,Benin,"5,434",,70 ,,"4,248",,"1,116",35,441,6
154,155,CAR,"5,004",,63 ,,"4,920",,21,2,"1,024",13
155,156,Niger,"4,740",,172 ,,"4,250",,318,23,191,7
156,157,Curaçao,"4,731",,22 ,,"4,645",,64,1,"28,753",134
157,158,Gambia,"4,712",,150 ,,"4,089",,473,8,"1,914",61
158,159,Gibraltar,"4,239",,93 ,,"4,125",,21,3,"125,846","2,761"
159,160,Channel Islands,"4,038",,86 ,,"3,928",,24,1,"23,084",492
160,161,Chad,"3,986",,140 ,,"3,480",,366,,238,8
161,162,Sierra Leone,"3,887",,79 ,,"2,621",,"1,187",,481,10
162,163,San Marino,"3,746",,74 ,,"3,276",,396,8,"110,245","2,178"
163,164,Comoros,"3,578",,144 ,,"3,331",,103,,"4,057",163
164,165,Saint Lucia,"3,390",,36 ,,"3,013",,341,2,"18,405",195
165,166,Guinea-Bissau,"3,262",,48 ,,"2,613",,601,7,"1,632",24
166,167,Barbados,"3,115",,36 ,,"2,443",,636,,"10,831",125
167,168,Mongolia,"3,000",+48,2 ,,"2,330",+31,668,10,905,0.6
168,169,Eritrea,"2,866",,7 ,,"2,261",,598,,801,2
169,170,Seychelles,"2,688",,11 ,,"2,365",,312,,"27,220",111
170,171,Liechtenstein,"2,575",,54 ,,"2,484",,37,4,"67,407","1,414"
171,172,Vietnam,"2,472",+24,35 ,,"1,892",+16,545,,25,0.4
172,173,New Zealand,"2,382",+4,26 ,,"2,287",+2,69,,476,5
173,174,Yemen,"2,310",,634 ,,"1,435",,241,23,76,21
174,175,Burundi,"2,217",,3 ,,773,,"1,441",,183,0.2
175,176,Turks and Caicos,"2,114",,14 ,,"1,873",,227,8,"54,116",358
176,177,Sint Maarten,"2,060",,27 ,,"2,004",,29,2,"47,686",625
177,178,Liberia,"2,014",,85 ,,"1,884",,45,2,392,17
178,179,Monaco,"1,965",,24 ,,"1,720",,221,5,"49,839",609
179,180,Sao Tome and Principe,"1,828",,30 ,,"1,413",,385,,"8,240",135
180,181,St. Vincent Grenadines,"1,628",,8 ,,938,,682,2,"14,644",72
181,182,Saint Martin,"1,544",,12 ,,"1,399",,133,7,"39,486",307
182,183,Papua New Guinea,"1,365",,14 ,,846,,505,,151,2
183,184,Taiwan,955,,9 ,,919,,27,,40,0.4
184,185,Bhutan,867,,1 ,,865,,1,,"1,115",1
185,186,Cambodia,844,+24, ,,478,+1,366,,50,
186,187,Antigua and Barbuda,769,,14 ,,307,,448,40,"7,810",142
187,189,Bermuda,707,,12 ,,682,,13,3,"11,380",193
188,191,Mauritius,619,,10 ,,588,,21,,486,8
189,192,St. Barth,573,,1 ,,462,,110,,"57,896",101
190,193,Tanzania,509,,21 ,,183,,305,7,8,0.3
191,194,Isle of Man,486,,25 ,,411,,50,,"5,695",293
192,195,Cayman Islands,447,,2 ,,415,,30,,"6,749",30
193,196,Caribbean Netherlands,429,,4 ,,402,,23,,"16,259",152
194,197,Brunei ,186,,3 ,,181,,2,,422,7
195,198,British Virgin Islands,153,,1 ,,131,,21,,"5,039",33
196,200,Dominica,144,, ,,130,,14,,"1,997",
197,201,Timor-Leste,113,, ,,90,,23,,85,
198,202,Fiji,59,,2 ,,54,,3,,66,2
199,203,New Caledonia,58,, ,,55,,3,,202,
200,204,Falkland Islands,54,, ,,46,,8,,"15,224",
201,205,Macao,48,, ,,47,,1,,73,
202,206,Laos,45,, ,,42,,3,,6,
203,207,Saint Kitts and Nevis,41,, ,,40,,1,,767,
204,209,Vatican City,27,, ,,15,,12,,"33,666",
205,210,Saint Pierre Miquelon,24,, ,,16,,8,,"4,156",
206,211,Montserrat,20,,1 ,,13,,6,,"4,005",200
207,213,Solomon Islands,18,, ,,14,,4,,26,
208,214,Western Sahara,10,,1 ,,8,,1,,16,2
209,216,Wallis and Futuna,9,, ,,7,,2,,810,
210,218,Samoa,3,, ,,2,,1,,15,
211,221,China,"89,923",+11,"4,636 ",,"85,087",+21,200,,62,3
212,Total:,"115,070,704","+81,063","2,552,120","+2,226","90,792,803","+79,352","21,725,781","90,321","14,762.5",327.4,
